	MOL_ID	MOL_INDEX
318	MOL000975	318
319	MOL000977	319
320	MOL000978	320
321	MOL000981	321
322	MOL000982	322
323	MOL000986	323
324	MOL000988	324
325	MOL000990	325
326	MOL000991	326
327	MOL000996	327
328	MOL000998	328
329	MOL001001	329
330	MOL001004	330
331	MOL001012	331
332	MOL001015	332
333	MOL001026	333
334	MOL001033	334
335	MOL001040	335
336	MOL001047	336
337	MOL001052	337
338	MOL001055	338
339	MOL001057	339
340	MOL001058	340
341	MOL001061	341
342	MOL001062	342
343	MOL001063	343
344	MOL001086	344
345	MOL001091	345
346	MOL001094	346
347	MOL001095	347
348	MOL001099	348
349	MOL001103	349
350	MOL001106	350
351	MOL001107	351
352	MOL001109	352
353	MOL001113	353
354	MOL001114	354
355	MOL001115	355
356	MOL001116	356
357	MOL001117	357
358	MOL001118	358
359	MOL001120	359
360	MOL001121	360
361	MOL001123	361
362	MOL001125	362
363	MOL001126	363
364	MOL001127	364
365	MOL001128	365
366	MOL001129	366
367	MOL001130	367
368	MOL001131	368
369	MOL001132	369
370	MOL001136	370
371	MOL001138	371
372	MOL001140	372
373	MOL001141	373
374	MOL001142	374
375	MOL001150	375
376	MOL001156	376
377	MOL001157	377
378	MOL001158	378
379	MOL001159	379
380	MOL001160	380
381	MOL001161	381
382	MOL001162	382
383	MOL001166	383
384	MOL001167	384
385	MOL001168	385
386	MOL001172	386
387	MOL001173	387
388	MOL001174	388
389	MOL001175	389
390	MOL001176	390
391	MOL001178	391
392	MOL001179	392
393	MOL001180	393
394	MOL001182	394
395	MOL001184	395
396	MOL001188	396
397	MOL001192	397
398	MOL001193	398
399	MOL001197	399
400	MOL001199	400
401	MOL001201	401
402	MOL001202	402
403	MOL001210	403
404	MOL001214	404
405	MOL001215	405
406	MOL001217	406
407	MOL001222	407
408	MOL001226	408
409	MOL001227	409
410	MOL001228	410
411	MOL001229	411
412	MOL001232	412
413	MOL001238	413
414	MOL001239	414
415	MOL001241	415
416	MOL001243	416
417	MOL001244	417
418	MOL001245	418
419	MOL001247	419
420	MOL001250	420
421	MOL001251	421
422	MOL001252	422
423	MOL001253	423
424	MOL001254	424
425	MOL001255	425
426	MOL001256	426
427	MOL001257	427
428	MOL001260	428
429	MOL001266	429
430	MOL001273	430
431	MOL001274	431
432	MOL001279	432
433	MOL001282	433
434	MOL001283	434
435	MOL001286	435
436	MOL001290	436
437	MOL001291	437
438	MOL001296	438
439	MOL001306	439
440	MOL001308	440
441	MOL001309	441
442	MOL001312	442
443	MOL001315	443
444	MOL001320	444
445	MOL001321	445
446	MOL001323	446
447	MOL001327	447
448	MOL001328	448
449	MOL001329	449
450	MOL001330	450
451	MOL001332	451
452	MOL001335	452
453	MOL001338	453
454	MOL001340	454
455	MOL001345	455
456	MOL001351	456
457	MOL001352	457
458	MOL001353	458
459	MOL001355	459
460	MOL001358	460
461	MOL001359	461
462	MOL001361	462
463	MOL001362	463
464	MOL001363	464
465	MOL001366	465
466	MOL001368	466
467	MOL001369	467
468	MOL001370	468
469	MOL001372	469
470	MOL001373	470
471	MOL001386	471
472	MOL001387	472
473	MOL001388	473
474	MOL001390	474
475	MOL001393	475
476	MOL001396	476
477	MOL001398	477
478	MOL001401	478
479	MOL001402	479
480	MOL001406	480
481	MOL001439	481
482	MOL001442	482
483	MOL001444	483
484	MOL001452	484
485	MOL001454	485
486	MOL001456	486
487	MOL001457	487
488	MOL001458	488
489	MOL001460	489
490	MOL001461	490
